locus_tag	gene	type	rv_equivalent	start	end	strand	source
Erdman_0934	ERv0891c	CDS	Rv0891c	995759	996617	-	ratt
Erdman_0935	ERv0892	CDS	Rv0892	997014	998502	+	ratt
Erdman_0936	ERv0893c	CDS	Rv0893c	998479	999457	-	ratt
Erdman_0937	ERv0894	CDS	Rv0894	999685	1000867	+	ratt
Erdman_0938	ERv0895	CDS	Rv0895	1000943	1002461	+	ratt
Erdman_0939	gltA2	CDS	Rv0896	1002633	1003929	+	ratt
Erdman_0940	ERv0897c	CDS	Rv0897c	1003969	1005577	-	ratt
Erdman_0941	ERv0898c	CDS	Rv0898c	1005602	1005866	-	ratt
Erdman_0942	arfA	CDS	Rv0899	1005973	1006954	+	ratt
Erdman_0943	arfB	CDS	Rv0900	1006966	1007119	+	ratt
Erdman_0944	arfC	CDS	Rv0901	1007118	1007646	+	ratt
Erdman_0945	prrB	CDS	Rv0902c	1007662	1009003	-	ratt
Erdman_0946	prrA	CDS	Rv0903c	1009013	1009724	-	ratt
Erdman_0947	accD3	CDS	Rv0904c	1009854	1011342	-	ratt
Erdman_0948	echA6	CDS	Rv0905	1011368	1012100	+	ratt
Erdman_0949	ERv0906	CDS	Rv0906	1012105	1013224	+	ratt
Erdman_0950	ERv0907	CDS	Rv0907	1013208	1014897	+	ratt
Erdman_0951	ctpE	CDS	Rv0908	1014893	1017287	+	ratt
Erdman_0952	Erdman_0952	CDS		1017559	1017718	+	bakta
Erdman_0953	ERv0909	CDS	Rv0909	1017843	1018023	+	ratt
Erdman_0954	ERv0910	CDS	Rv0910	1018028	1018463	+	ratt
Erdman_0955	ERv0911	CDS	Rv0911	1018560	1019334	+	ratt
Erdman_0956	ERv0912	CDS	Rv0912	1019398	1019848	+	ratt
Erdman_0957	Erdman_0957	CDS		1019982	1020213	-	bakta
Erdman_0958	ERv0913c	CDS	Rv0913c	1020379	1021888	-	ratt
Erdman_0959	ERv0914c	CDS	Rv0914c	1021889	1023128	-	ratt
Erdman_0960	PPE14	CDS	Rv0915c	1023220	1024492	-	ratt
Erdman_0961	PE7	CDS	Rv0916c	1024506	1024806	-	ratt
Erdman_0962	betP	CDS	Rv0917	1025249	1027031	+	ratt
Erdman_0963	ERv0918	CDS	Rv0918	1027373	1027850	+	ratt
Erdman_0964	ERv0919	CDS	Rv0919	1027846	1028347	+	ratt
Erdman_0965	argT	tRNA	Rvnt14	1028483	1028556	-	ratt
Erdman_0966	ERv0920c	CDS	Rv0920c	1028659	1029979	-	ratt
Erdman_0967	ERv0921	CDS	Rv0921	1030266	1030848	+	ratt
Erdman_0968	ERv0922	CDS	Rv0922	1030847	1032500	+	ratt
Erdman_0969	ERv0923c	CDS	Rv0923c	1032675	1033740	-	ratt
Erdman_0970	mntH	CDS	Rv0924c	1033740	1035027	-	ratt
Erdman_0971	ERv0925c	CDS	Rv0925c	1035058	1035796	-	ratt
Erdman_0972	ERv0926c	CDS	Rv0926c	1035872	1036949	-	ratt
Erdman_0973	ERv0927c	CDS	Rv0927c	1037002	1037794	-	ratt
Erdman_0974	pstS3	CDS	Rv0928	1038065	1039178	+	ratt
Erdman_0975	pstC2	CDS	Rv0929	1039190	1040165	+	ratt
Erdman_0976	pstA1	CDS	Rv0930	1040161	1041076	+	ratt
Erdman_0977	pknD	CDS	Rv0931c	1041082	1043077	-	ratt
Erdman_0978	pstS2	CDS	Rv0932c	1043098	1044211	-	ratt
Erdman_0979	pstB	CDS	Rv0933	1044426	1045257	+	ratt
Erdman_0980	pstS1	CDS	Rv0934	1045277	1046402	+	ratt
Erdman_0981	pstC1	CDS	Rv0935	1046461	1047478	+	ratt
Erdman_0982	pstA2	CDS	Rv0936	1047479	1048385	+	ratt
Erdman_0983	mku	CDS	Rv0937c	1048361	1049183	-	ratt
Erdman_0984	ligD	CDS	Rv0938	1049298	1051578	+	ratt
Erdman_0985	ERv0939	CDS	Rv0939	1051574	1053509	+	ratt
Erdman_0986	ERv0940c	CDS	Rv0940c	1053755	1054622	-	ratt
Erdman_0987	ERv0941c	CDS	Rv0941c	1054706	1055480	-	ratt
Erdman_0988	ERv0942	CDS	Rv0942	1055522	1055801	+	ratt
Erdman_0989	ERv0943c	CDS	Rv0943c	1055858	1056899	-	ratt
Erdman_0990	ERv0944	CDS	Rv0944	1056927	1057404	+	ratt
Erdman_0991	ERv0945	CDS	Rv0945	1057409	1058171	+	ratt
Erdman_0992	pgi	CDS	Rv0946c	1058186	1059848	-	ratt
Erdman_0993	ERv0947c	CDS	Rv0947c	1060462	1060693	-	ratt
Erdman_0994	ERv0948c	CDS	Rv0948c	1060808	1061126	-	ratt
Erdman_0995	uvrD1	CDS	Rv0949	1061422	1063738	+	ratt
Erdman_0996	ERv0950c	CDS	Rv0950c	1063818	1064817	-	ratt
Erdman_0997	sucC	CDS	Rv0951	1065126	1066290	+	ratt
Erdman_0998	sucD	CDS	Rv0952	1066302	1067214	+	ratt
Erdman_0999	ERv0953c	CDS	Rv0953c	1067276	1068125	-	ratt
Erdman_1000	ERv0954	CDS	Rv0954	1068289	1069201	+	ratt
Erdman_1001	ERv0955	CDS	Rv0955	1069240	1070608	+	ratt
Erdman_1002	purN	CDS	Rv0956	1070723	1071371	+	ratt
Erdman_1003	purH	CDS	Rv0957	1071367	1072939	+	ratt
Erdman_1004	ERv0958	CDS	Rv0958	1073045	1074425	+	ratt
Erdman_1005	ERv0959	CDS	Rv0959	1074417	1076436	+	ratt
Erdman_1006	vapB9	CDS	Rv0959A	1076489	1076711	+	ratt
Erdman_1007	vapC9	CDS	Rv0960	1076707	1077091	+	ratt
Erdman_1008	ERv0961	CDS	Rv0961	1077236	1077584	+	ratt
Erdman_1009	lprP	CDS	Rv0962c	1077602	1078277	-	ratt
Erdman_1010	ERv0963c	CDS	Rv0963c	1078459	1079092	-	ratt
Erdman_1011	tnp	CDS		1080090	1080417	-	bakta
Erdman_1012	ERv0964c	CDS	Rv0964c	1080716	1081199	-	ratt
Erdman_1013	ERv0965c	CDS	Rv0965c	1081298	1081718	-	ratt
Erdman_1014	ERv0966c	CDS	Rv0966c	1081753	1082356	-	ratt
Erdman_1015	csoR	CDS	Rv0967	1082495	1082855	+	ratt
Erdman_1016	ERv0968	CDS	Rv0968	1082911	1083208	+	ratt
Erdman_1017	ctpV	CDS	Rv0969	1083263	1085576	+	ratt
Erdman_1018	ERv0970	CDS	Rv0970	1085572	1086205	+	ratt
Erdman_1019	echA7	CDS	Rv0971c	1086295	1087105	-	ratt
Erdman_1020	fadE12	CDS	Rv0972c	1087104	1088271	-	ratt
Erdman_1021	accA2	CDS	Rv0973c	1088267	1090271	-	ratt
Erdman_1022	accD2	CDS	Rv0974c	1090276	1091866	-	ratt
Erdman_1023	fadE13	CDS	Rv0975c	1091868	1093017	-	ratt
Erdman_1024	ERv0976c	CDS	Rv0976c	1093013	1094696	-	ratt
Erdman_1025	PE_PGRS16	CDS	Rv0977	1094893	1096870	+	ratt
Erdman_1026	PE_PGRS17	CDS	Rv0978c	1097630	1098638	-	ratt
Erdman_1027	ERv0979c	CDS	Rv0979c	1098951	1099146	-	ratt
Erdman_1028	rpmF	CDS	Rv0979A	1099167	1099341	+	ratt
Erdman_1029	PE_PGRS18	CDS	Rv0980c	1099359	1100745	-	ratt
Erdman_1030	mprA	CDS	Rv0981	1101115	1101802	+	ratt
Erdman_1031	mprB	CDS	Rv0982	1101801	1103316	+	ratt
Erdman_1032	pepD	CDS	Rv0983	1103359	1104754	+	ratt
Erdman_1033	moaB2	CDS	Rv0984	1104753	1105299	+	ratt
Erdman_1034	mscL	CDS	Rv0985c	1105318	1105774	-	ratt
Erdman_1035	ERv0986	CDS	Rv0986	1106096	1106843	+	ratt
Erdman_1036	ERv0987	CDS	Rv0987	1106835	1109403	+	ratt
Erdman_1037	ERv0988	CDS	Rv0988	1109409	1110570	+	ratt
Erdman_1038	grcC2	CDS	Rv0989c	1110698	1111676	-	ratt
Erdman_1039	ERv0990c	CDS	Rv0990c	1111736	1112393	-	ratt
Erdman_1040	ERv0991c	CDS	Rv0991c	1112465	1112798	-	ratt
Erdman_1041	ERv0992c	CDS	Rv0992c	1112871	1113465	-	ratt
Erdman_1042	galU	CDS	Rv0993	1113565	1114486	+	ratt
Erdman_1043	moeA1	CDS	Rv0994	1114562	1115843	+	ratt
Erdman_1044	rimJ	CDS	Rv0995	1115905	1116517	+	ratt
Erdman_1045	ERv0996	CDS	Rv0996	1116677	1117754	+	ratt
Erdman_1046	alaV	tRNA	Rvnt15	1117804	1117877	+	ratt
Erdman_1047	ERv0997a	CDS	Rv0997a	1118154	1118406	+	ratt
Erdman_1048	ERv0997	CDS	Rv0997	1118586	1119018	+	ratt
Erdman_1049	ERv0998	CDS	Rv0998	1119041	1120043	+	ratt
Erdman_1050	ERv0999	CDS	Rv0999	1120060	1120819	+	ratt
Erdman_1051	ERv1000c	CDS	Rv1000c	1120824	1121442	-	ratt
Erdman_1052	arcA	CDS	Rv1001	1121478	1122687	+	ratt
Erdman_1053	ERv1002c	CDS	Rv1002c	1122721	1124233	-	ratt
Erdman_1054	ERv1003	CDS	Rv1003	1124315	1125173	+	ratt
Erdman_1055	ERv1004c	CDS	Rv1004c	1125182	1126442	-	ratt
Erdman_1056	ERv1005c	CDS	Rv1005c	1126515	1127892	-	ratt
Erdman_1057	ERv1006	CDS	Rv1006	1128007	1129711	+	ratt
Erdman_1058	metS	CDS	Rv1007c	1129737	1131297	-	ratt
Erdman_1059	tatD	CDS	Rv1008	1131382	1132177	+	ratt
Erdman_1060	rpfB	CDS	Rv1009	1132384	1133473	+	ratt
Erdman_1061	ksgA	CDS	Rv1010	1133445	1134399	+	ratt
Erdman_1062	ispE	CDS	Rv1011	1134484	1135405	+	ratt
Erdman_1063	ERv1012	CDS	Rv1012	1135421	1135715	+	ratt
Erdman_1064	pks16	CDS	Rv1013	1135918	1137553	+	ratt
Erdman_1065	pth	CDS	Rv1014c	1137626	1138202	-	ratt
Erdman_1066	rplY	CDS	Rv1015c	1138214	1138862	-	ratt
Erdman_1067	lpqT	CDS	Rv1016c	1139078	1139759	-	ratt
Erdman_1068	prsA	CDS	Rv1017c	1139794	1140775	-	ratt
Erdman_1069	glmU	CDS	Rv1018c	1140866	1142354	-	ratt
Erdman_1070	glnT	tRNA	Rvnt16	1142369	1142441	-	ratt
Erdman_1071	ERv1019	CDS	Rv1019	1142608	1143202	+	ratt
Erdman_1072	mfd	CDS	Rv1020	1143260	1146965	+	ratt
Erdman_1073	ERv1021	CDS	Rv1021	1146964	1147942	+	ratt
Erdman_1074	lpqU	CDS	Rv1022	1148029	1148761	+	ratt
Erdman_1075	eno	CDS	Rv1023	1148857	1150147	+	ratt
Erdman_1076	ERv1024	CDS	Rv1024	1150151	1150838	+	ratt
Erdman_1077	ERv1025	CDS	Rv1025	1150854	1151322	+	ratt
Erdman_1078	ERv1026	CDS	Rv1026	1151312	1152272	+	ratt
Erdman_1079	Erdman_1079	CDS		1152373	1152466	+	bakta
Erdman_1080	kdpE	CDS	Rv1027c	1152720	1153401	-	ratt
Erdman_1081	kdpD	CDS	Rv1028c	1153397	1155980	-	ratt
Erdman_1082	kdpF	CDS	Rv1028A	1156213	1156306	+	ratt
Erdman_1083	kdpA	CDS	Rv1029	1156305	1158021	+	ratt
Erdman_1084	kdpB	CDS	Rv1030	1158017	1160147	+	ratt
Erdman_1085	kdpC	CDS	Rv1031	1160146	1160716	+	ratt
Erdman_1086	trcS	CDS	Rv1032c	1160719	1162249	-	ratt
Erdman_1087	trcR	CDS	Rv1033c	1162256	1163030	-	ratt
Erdman_1088	Erdman_1088	CDS		1163211	1163703	-	bakta
Erdman_1089	Erdman_1089	CDS		1163668	1164355	-	bakta
Erdman_1090	Erdman_1090	CDS		1164388	1164712	-	bakta
Erdman_1091	esxI	CDS	Rv1037c	1164837	1165122	-	ratt
Erdman_1092	esxJ	CDS	Rv1038c	1165148	1165445	-	ratt
Erdman_1093	PPE15	CDS	Rv1039c	1165590	1166766	-	ratt
Erdman_1094	PE8	CDS	Rv1040c	1166842	1167670	-	ratt
Erdman_1095	Erdman_1095	CDS		1168457	1168730	-	bakta
Erdman_1096	ERv1041c	CDS	Rv1041c	1168865	1169729	-	ratt
Erdman_1097	ERv1042c	CDS	Rv1042c	1169385	1169793	-	ratt
Erdman_1098	ERv1043c	CDS	Rv1043c	1170075	1171101	-	ratt
Erdman_1099	ERv1044	CDS	Rv1044	1171347	1171971	+	ratt
Erdman_1100	ERv1045	CDS	Rv1045	1171967	1172849	+	ratt
Erdman_1101	ERv1047	CDS	Rv1047	1173718	1174966	+	ratt
Erdman_1102	ERv1048c	CDS	Rv1048c	1175332	1176448	-	ratt
Erdman_1103	ERv1049	CDS	Rv1049	1176680	1177127	+	ratt
Erdman_1104	ERv1050	CDS	Rv1050	1177175	1178081	+	ratt
Erdman_1105	ERv1051c	CDS	Rv1051c	1178239	1178995	-	ratt
Erdman_1106	ERv1052	CDS	Rv1052	1180017	1180407	+	ratt
Erdman_1107	Erdman_1107	CDS		1180666	1180780	+	bakta
Erdman_1108	leuX	tRNA	Rvnt17	1181690	1181764	+	ratt
Erdman_1109	ERv1056	CDS	Rv1056	1181922	1182687	+	ratt
Erdman_1110	Erdman_1110	CDS		1182898	1183045	-	bakta
Erdman_1111	ERv1057	CDS	Rv1057	1183690	1184872	+	ratt
Erdman_1112	fadD14	CDS	Rv1058	1184978	1186610	+	ratt
Erdman_1113	ERv1059	CDS	Rv1059	1186685	1187750	+	ratt
Erdman_1114	ERv1060	CDS	Rv1060	1187802	1188276	+	ratt
Erdman_1115	ERv1061	CDS	Rv1061	1188309	1189173	+	ratt
Erdman_1116	ERv1062	CDS	Rv1062	1189177	1190035	+	ratt
Erdman_1117	ERv1063c	CDS	Rv1063c	1190035	1191118	-	ratt
Erdman_1118	lpqV	CDS	Rv1064c	1191198	1191618	-	ratt
Erdman_1119	ERv1065	CDS	Rv1065	1191729	1192296	+	ratt
Erdman_1120	ERv1066	CDS	Rv1066	1192292	1192688	+	ratt
Erdman_1121	PE_PGRS19	CDS	Rv1067c	1192715	1194710	-	ratt
Erdman_1122	PE_PGRS20	CDS	Rv1068c	1195042	1196632	-	ratt
Erdman_1123	Erdman_1123	CDS		1196718	1196859	+	bakta
Erdman_1124	ERv1069c	CDS	Rv1069c	1196993	1198757	-	ratt
Erdman_1125	echA8	CDS	Rv1070c	1198753	1199527	-	ratt
Erdman_1126	echA9	CDS	Rv1071c	1199538	1200576	-	ratt
Erdman_1127	ERv1072	CDS	Rv1072	1200762	1201599	+	ratt
Erdman_1128	ERv1073	CDS	Rv1073	1201714	1202566	+	ratt
Erdman_1129	fadA3	CDS	Rv1074c	1202639	1203857	-	ratt
Erdman_1130	ERv1075c	CDS	Rv1075c	1203909	1204854	-	ratt
Erdman_1131	lipU	CDS	Rv1076	1205250	1206144	+	ratt
Erdman_1132	cbs	CDS	Rv1077	1206200	1207595	+	ratt
Erdman_1133	ERv1078	CDS	Rv1078	1207796	1208519	+	ratt
Erdman_1134	metB	CDS	Rv1079	1208550	1209717	+	ratt
Erdman_1135	greA	CDS	Rv1080c	1209787	1210282	-	ratt
Erdman_1136	ERv1081c	CDS	Rv1081c	1210467	1210902	-	ratt
Erdman_1137	mca	CDS	Rv1082	1211003	1211870	+	ratt
Erdman_1138	ERv1083	CDS	Rv1083	1211866	1212133	+	ratt
Erdman_1139	ERv1084	CDS	Rv1084	1212119	1214141	+	ratt
Erdman_1140	ERv1085c	CDS	Rv1085c	1214239	1214968	-	ratt
Erdman_1141	ERv1086	CDS	Rv1086	1215078	1215867	+	ratt
Erdman_1142	PE_PGRS21	CDS	Rv1087	1216043	1218383	+	ratt
Erdman_1143	Erdman_1143	CDS		1218568	1218880	+	bakta
Erdman_1144	PE9	CDS	Rv1088	1219032	1219467	+	ratt
Erdman_1145	ERv1088a	CDS	Rv1088a	1219744	1219927	+	ratt
Erdman_1146	Erdman_1146	CDS		1220118	1220574	+	bakta
Erdman_1147	PE_PGRS22	CDS	Rv1091	1220988	1223550	+	ratt
Erdman_1148	coaA	CDS	Rv1092c	1223767	1224706	-	ratt
Erdman_1149	MTS0858	ncRNA	RVnc0034	1224907	1225007	-	ratt
Erdman_1150	glyA1	CDS	Rv1093	1225093	1226374	+	ratt
Erdman_1151	desA2	CDS	Rv1094	1226478	1227306	+	ratt
Erdman_1152	phoH2	CDS	Rv1095	1227516	1228818	+	ratt
Erdman_1153	ERv1096	CDS	Rv1096	1228904	1229780	+	ratt
Erdman_1154	ERv1097c	CDS	Rv1097c	1229782	1230664	-	ratt
Erdman_1155	fum	CDS	Rv1098c	1230660	1232085	-	ratt
Erdman_1156	glpX	CDS	Rv1099c	1232115	1233204	-	ratt
Erdman_1157	ERv1100	CDS	Rv1100	1233202	1233904	+	ratt
Erdman_1158	ERv1101c	CDS	Rv1101c	1233910	1235068	-	ratt
Erdman_1159	mazF3	CDS	Rv1102c	1235179	1235491	-	ratt
Erdman_1160	mazE3	CDS	Rv1103c	1235490	1235811	-	ratt
Erdman_1161	Erdman_1161	CDS		1235820	1236510	+	bakta
Erdman_1162	Erdman_1162	CDS		1236830	1237346	+	bakta
Erdman_1163	ERv1106c	CDS	Rv1106c	1237363	1238476	-	ratt
Erdman_1164	xseB	CDS	Rv1107c	1238485	1238743	-	ratt
Erdman_1165	xseA	CDS	Rv1108c	1238732	1239980	-	ratt
Erdman_1166	ERv1109c	CDS	Rv1109c	1239976	1240615	-	ratt
Erdman_1167	lytB2	CDS	Rv1110	1240704	1241712	+	ratt
Erdman_1168	ERv1111c	CDS	Rv1111c	1241728	1242712	-	ratt
Erdman_1169	ERv1112	CDS	Rv1112	1242774	1243848	+	ratt
Erdman_1170	vapB32	CDS	Rv1113	1243935	1244133	+	ratt
Erdman_1171	vapC32	CDS	Rv1114	1244129	1244504	+	ratt
Erdman_1172	ERv1115	CDS	Rv1115	1244706	1245405	+	ratt
Erdman_1173	ERv1116	CDS	Rv1116	1245522	1245708	+	ratt
Erdman_1174	ERv1117	CDS	Rv1117	1246152	1246476	+	ratt
Erdman_1175	ERv1118c	CDS	Rv1118c	1246490	1247351	-	ratt
Erdman_1176	ERv1119c	CDS	Rv1119c	1247383	1247533	-	ratt
Erdman_1177	ERv1120c	CDS	Rv1120c	1247529	1248024	-	ratt
Erdman_1178	zwf1	CDS	Rv1121	1248226	1249627	+	ratt
Erdman_1179	gnd2	CDS	Rv1122	1249648	1250671	+	ratt
Erdman_1180	bpoB	CDS	Rv1123c	1250663	1251572	-	ratt
Erdman_1181	ephC	CDS	Rv1124	1251646	1252597	+	ratt
Erdman_1182	ERv1125	CDS	Rv1125	1252601	1253846	+	ratt
Erdman_1183	ERv1126c	CDS	Rv1126c	1253849	1254455	-	ratt
Erdman_1184	ppdK	CDS	Rv1127c	1254451	1255924	-	ratt
Erdman_1185	ERv1128c	CDS	Rv1128c	1256136	1257492	-	ratt
Erdman_1186	ERv1129c	CDS	Rv1129c	1257593	1259054	-	ratt
Erdman_1187	prpD	CDS	Rv1130	1259074	1260655	+	ratt
Erdman_1188	prpC	CDS	Rv1131	1260651	1261833	+	ratt
Erdman_1189	ERv1132	CDS	Rv1132	1261844	1263575	+	ratt
Erdman_1190	metE	CDS	Rv1133c	1263586	1265866	-	ratt
		regulatory		1265999	1266217	-	bakta
Erdman_1191	ERv1134	CDS	Rv1134	1266441	1266678	+	ratt
Erdman_1192	PPE16	CDS	Rv1135c	1266791	1268648	-	ratt
Erdman_1193	Erdman_1193	CDS		1268833	1269076	+	bakta
Erdman_1194	Erdman_1194	CDS		1269125	1269467	+	bakta
Erdman_1195	ERv1138a	CDS	Rv1138a	1269553	1269958	+	ratt
Erdman_1196	ERv1138c	CDS	Rv1138c	1269991	1271008	-	ratt
Erdman_1197	ERv1139c	CDS	Rv1139c	1271004	1271505	-	ratt
Erdman_1198	ERv1140	CDS	Rv1140	1271866	1272715	+	ratt
Erdman_1199	echA11	CDS	Rv1141c	1272722	1273529	-	ratt
Erdman_1200	echA10	CDS	Rv1142c	1273671	1274478	-	ratt
Erdman_1201	mcr	CDS	Rv1143	1274581	1275664	+	ratt
Erdman_1202	ERv1144	CDS	Rv1144	1275675	1276428	+	ratt
Erdman_1203	Erdman_1203	CDS		1276555	1276687	-	bakta
Erdman_1204	ERv1145	CDS	Rv1145	1276942	1277854	+	ratt
Erdman_1205	ERv1146	CDS	Rv1146	1277874	1279287	+	ratt
Erdman_1206	ERv1147	CDS	Rv1147	1279419	1280070	+	ratt
Erdman_1207	ERv1148c	CDS	Rv1148c	1280819	1282268	-	ratt
Erdman_1208	ERv1149	CDS	Rv1149	1282413	1282821	+	ratt
Erdman_1209	ERv1150	CDS	Rv1150	1282789	1283341	+	ratt
Erdman_1210	ERv1151c	CDS	Rv1151c	1283424	1284138	-	ratt
Erdman_1211	ERv1152	CDS	Rv1152	1284175	1284541	+	ratt
Erdman_1212	omt	CDS	Rv1153c	1284518	1285367	-	ratt
Erdman_1213	ERv1154c	CDS	Rv1154c	1285363	1286005	-	ratt
Erdman_1214	ERv1155	CDS	Rv1155	1285949	1286393	+	ratt
Erdman_1215	ERv1155a	CDS	Rv1155a	1286550	1286739	+	ratt
Erdman_1216	ERv1156	CDS	Rv1156	1286826	1287414	+	ratt
Erdman_1217	ERv1157c	CDS	Rv1157c	1287576	1288692	-	ratt
Erdman_1218	mcr10	ncRNA	RVnc0012	1288213	1288336	+	ratt
Erdman_1219	ERv1158c	CDS	Rv1158c	1288699	1289383	-	ratt
Erdman_1220	pimE	CDS	Rv1159	1289512	1290808	+	ratt
Erdman_1221	ERv1159A	CDS	Rv1159A	1290804	1291089	-	ratt
Erdman_1222	mutT2	CDS	Rv1160	1291115	1291541	+	ratt
Erdman_1223	narG	CDS	Rv1161	1291848	1295547	+	ratt
Erdman_1224	narH	CDS	Rv1162	1295585	1297262	+	ratt
Erdman_1225	narJ	CDS	Rv1163	1297318	1297924	+	ratt
Erdman_1226	narI	CDS	Rv1164	1297926	1298667	+	ratt
Erdman_1227	typA	CDS	Rv1165	1298688	1300575	+	ratt
Erdman_1228	lpqW	CDS	Rv1166	1300672	1302580	+	ratt
Erdman_1229	ERv1167c	CDS	Rv1167c	1302607	1303213	-	ratt
Erdman_1230	PPE17	CDS	Rv1168c	1303284	1304325	-	ratt
Erdman_1231	lipX	CDS	Rv1169c	1304342	1304645	-	ratt
Erdman_1232	mshB	CDS	Rv1170	1304824	1305736	+	ratt
Erdman_1233	ERv1171	CDS	Rv1171	1305827	1306268	+	ratt
Erdman_1234	PE12	CDS	Rv1172c	1306275	1307202	-	ratt
Erdman_1235	fbiC	CDS	Rv1173	1307451	1310022	+	ratt
Erdman_1236	TB8.4	CDS	Rv1174c	1310189	1310522	-	ratt
Erdman_1237	fadH	CDS	Rv1175c	1310722	1312747	-	ratt
Erdman_1238	ERv1176c	CDS	Rv1176c	1312743	1313313	-	ratt
Erdman_1239	fdxC	CDS	Rv1177	1313525	1313852	+	ratt
Erdman_1240	ERv1178	CDS	Rv1178	1313884	1314973	+	ratt
Erdman_1241	ERv1179c	CDS	Rv1179c	1315000	1317820	-	ratt
Erdman_1242	pks3	CDS	Rv1180	1318246	1324504	+	ratt
Erdman_1243	pks4	CDS	Rv1181	1319755	1324504	+	ratt
Erdman_1244	papA3	CDS	Rv1182	1324556	1325975	+	ratt
Erdman_1245	mmpL10	CDS	Rv1183	1326041	1329050	+	ratt
Erdman_1246	ERv1184c	CDS	Rv1184c	1329053	1330133	-	ratt
Erdman_1247	fadD21	CDS	Rv1185c	1330297	1332034	-	ratt
Erdman_1248	ERv1186c	CDS	Rv1186c	1332210	1333827	-	ratt
Erdman_1249	rocA	CDS	Rv1187	1333911	1335543	+	ratt
Erdman_1250	ERv1188	CDS	Rv1188	1335542	1336532	+	ratt
Erdman_1251	sigI	CDS	Rv1189	1336613	1337486	+	ratt
Erdman_1252	ERv1190	CDS	Rv1190	1337709	1338378	+	ratt
Erdman_1253	ERv1191	CDS	Rv1191	1338450	1339365	+	ratt
Erdman_1254	ERv1192	CDS	Rv1192	1339446	1340274	+	ratt
Erdman_1255	fadD36	CDS	Rv1193	1340313	1341735	+	ratt
Erdman_1256	ERv1194c	CDS	Rv1194c	1341767	1343033	-	ratt
Erdman_1257	PE13	CDS	Rv1195	1343522	1343822	+	ratt
Erdman_1258	PPE18	CDS	Rv1196	1343868	1345044	+	ratt
Erdman_1259	esxK	CDS	Rv1197	1345178	1345475	+	ratt
Erdman_1260	esxL	CDS	Rv1198	1345525	1345810	+	ratt
Erdman_1261	ERv1199c	CDS	Rv1199c	1345877	1347125	-	ratt
Erdman_1262	ERv1200	CDS	Rv1200	1347462	1348740	+	ratt
Erdman_1263	dapD	CDS	Rv1201c	1348736	1349690	-	ratt
Erdman_1264	dapE	CDS	Rv1202	1349780	1350845	+	ratt
Erdman_1265	ERv1203c	CDS	Rv1203c	1350841	1351426	-	ratt
Erdman_1266	ERv1204c	CDS	Rv1204c	1351456	1353145	-	ratt
Erdman_1267	ERv1205	CDS	Rv1205	1353239	1353803	+	ratt
Erdman_1268	fadD6	CDS	Rv1206	1353852	1355646	+	ratt
Erdman_1269	folP2	CDS	Rv1207	1355711	1356668	+	ratt
Erdman_1270	gpgS	CDS	Rv1208	1356664	1357639	+	ratt
Erdman_1271	ERv1209	CDS	Rv1209	1357677	1358046	+	ratt
Erdman_1272	tagA	CDS	Rv1210	1358042	1358657	+	ratt
Erdman_1273	ERv1211	CDS	Rv1211	1358763	1358991	+	ratt
Erdman_1274	glgA	CDS	Rv1212c	1359018	1360182	-	ratt
Erdman_1275	glgC	CDS	Rv1213	1360356	1361571	+	ratt
Erdman_1276	PE14	CDS	Rv1214c	1361813	1362146	-	ratt
Erdman_1277	ERv1215c	CDS	Rv1215c	1362279	1363965	-	ratt
Erdman_1278	ERv1216c	CDS	Rv1216c	1363992	1364667	-	ratt
Erdman_1279	ERv1217c	CDS	Rv1217c	1364675	1366322	-	ratt
Erdman_1280	ERv1218c	CDS	Rv1218c	1366318	1367254	-	ratt
Erdman_1281	ERv1219c	CDS	Rv1219c	1367243	1367882	-	ratt
Erdman_1282	ERv1220c	CDS	Rv1220c	1368023	1368671	-	ratt
Erdman_1283	sigE	CDS	Rv1221	1368933	1369707	+	ratt
Erdman_1284	rseA	CDS	Rv1222	1369864	1370329	+	ratt
Erdman_1285	htrA	CDS	Rv1223	1370396	1371983	+	ratt
Erdman_1286	tatB	CDS	Rv1224	1371984	1372380	+	ratt
Erdman_1287	ERv1225c	CDS	Rv1225c	1372412	1373243	-	ratt
Erdman_1288	ERv1226c	CDS	Rv1226c	1373353	1374817	-	ratt
Erdman_1289	ERv1227c	CDS	Rv1227c	1374813	1375347	-	ratt
Erdman_1290	lpqX	CDS	Rv1228	1375441	1375999	+	ratt
Erdman_1291	ERv1228a	CDS	Rv1228a	1376050	1376224	+	ratt
Erdman_1292	mrp	CDS	Rv1229c	1376298	1377471	-	ratt
Erdman_1293	ERv1230c	CDS	Rv1230c	1377483	1378719	-	ratt
Erdman_1294	ERv1231c	CDS	Rv1231c	1378843	1379386	-	ratt
Erdman_1295	ERv1232c	CDS	Rv1232c	1379382	1380690	-	ratt
Erdman_1296	ERv1233c	CDS	Rv1233c	1380751	1381348	-	ratt
Erdman_1297	ERv1234	CDS	Rv1234	1381497	1382025	+	ratt
Erdman_1298	lpqY	CDS	Rv1235	1382045	1383452	+	ratt
Erdman_1299	sugA	CDS	Rv1236	1383448	1384372	+	ratt
Erdman_1300	sugB	CDS	Rv1237	1384376	1385201	+	ratt
Erdman_1301	sugC	CDS	Rv1238	1385205	1386387	+	ratt
Erdman_1302	corA	CDS	Rv1239c	1386463	1387564	-	ratt
